candidate_id,author_or_tradition,work_or_cluster,approx_date,original_language,tradition,why_candidate,lead_source,status
CND-035,Isidore of Seville,Etymologies Book 3 and related works,7th c CE,Latin,Latin Christian encyclopedia,Arithmetic music astronomy and qualitative classifications,Corpus Corporum PL and open editions,core work
CND-036,Bede,On the Reckoning of Time and biblical commentaries,8th c CE,Latin,Insular Christian,Computus ordered time and scriptural number interpretation,Corpus Corporum openMGH and editions,high-confidence cluster
CND-037,Rabanus Maurus,De computo and De universo,9th c CE,Latin,Carolingian Christian,Encyclopedic and computistical transmission of number qualities,Corpus Corporum PL and openMGH,core cluster
CND-038,Hugh of Saint Victor,Didascalicon and exegetical works,12th c CE,Latin,Victorine Christian,Pedagogical and scriptural number systems influenced by Isidore,Corpus Corporum PL and editions,high-confidence cluster
CND-039,Bartholomaeus Anglicus,De proprietatibus rerum,13th c CE,Latin,Scholastic encyclopedia,Encyclopedic reception of numerical properties and cosmology,Corpus Corporum editions and scans,seed lead
CND-040,Sefer Yetzirah,Book of Formation,3rd-10th c CE dating disputed,Hebrew,Jewish mystical,Letters numbers creation and relational ordered structures,Sefaria and manuscript scholarship,core work
CND-041,Midrashic traditions,Midrash Rabbah Tanchuma and related collections,Late antique-medieval,Hebrew and Aramaic,Rabbinic Jewish,Scriptural number interpretation across commentary traditions,Sefaria Export,core cluster
CND-042,Sefer ha-Bahir,Bahir,12th c CE,Hebrew,Jewish mystical,Letter-number and sefirotic qualitative systems,Sefaria and editions,high-confidence lead
CND-043,Zohar,Zoharic corpus,13th c CE,Aramaic,Jewish mystical,Extensive qualitative number and ordered emanation symbolism,Sefaria Export and editions,core cluster
CND-044,Dante Alighieri,Convivio and Commedia,14th c CE,Italian and Latin context,Medieval Christian literary,Explicit number interpretation and large-scale numerical architecture,Public-domain editions and Hopper,high-confidence cluster
CND-045,Pistis Sophia,Pistis Sophia,3rd-4th c CE,Coptic from Greek tradition,Gnostic Christian,Extensive ordered aeonic structures and qualitative numerical systems,Coptic SCRIPTORIUM and editions,core work
CND-046,Ephrem and Syriac exegetical traditions,Biblical commentaries hymns and memre,4th c CE onward,Syriac,Syriac Christian,Potential number exegesis and ordered symbolic structures largely absent from Greek-Latin maps,Digital Syriac Corpus and Patrologia Orientalis,high-priority discovery cluster
CND-047,Islamicate Pythagorean reception,Epistles of the Brethren of Purity,10th c CE,Arabic,Islamicate philosophical,Arithmetic cosmology qualitative number doctrine and encyclopedic transmission,OpenITI and public editions,core work
CND-048,Arabic philosophical and mathematical traditions,Works of al-Kindi and related authors,9th c CE onward,Arabic,Islamicate philosophical,Pythagorean and Neoplatonic number doctrine transmitted and transformed in Arabic,OpenITI and secondary source maps,high-priority discovery cluster
CND-049,Quranic exegesis,Tafsir and mystical commentary traditions,8th c CE onward,Arabic,Islamicate exegetical,Qualitative interpretation of scriptural counts letters and ordered structures,OpenITI Corpus Coranicum and scans,high-priority discovery cluster
CND-050,Patrologia Orientalis traditions,Eastern Christian exegetical and cosmological works,Late antique-medieval,Syriac Armenian Arabic Coptic Georgian Ge'ez,Eastern Christian,Potentially major non-Greek and non-Latin number traditions hidden by ordinary corpus availability,Patrologia Orientalis GREgORI and language corpora,high-priority discovery cluster
CND-051,John Climacus,Scala paradisi or Ladder of Divine Ascent,7th c CE,Greek with Arabic Latin Syriac and other transmissions,Eastern Christian mystical,Thirty-step ascetical structure with embedded qualitative number interpretation and extensive reception,PG 88 BiblIndex manuscripts and modern translations,core work
CND-052,Christian mystical traditions,Visionary ascetical and contemplative works,Medieval-early modern,Latin Greek vernacular and Eastern Christian languages,Christian mystical,Numbered stages visions architectures virtues vices and ordered spiritual ascent may preserve distinct qualitative number habits,CatholicCorpus CCEL PG PL and author-specific corpora,high-priority discovery cluster
CND-053,Thabit ibn Qurra,Arabic translation of Nicomachus Introduction to Arithmetic,9th c CE,Arabic from Greek,Abbasid mathematical translation,Direct machine-readable transmission witness for Nicomachean and Pythagorean qualitative arithmetic,OpenITI 2025.1.9 version 0288ThabitIbnQurra.MadkhalLiNiqumakhus.GRAR000060-ara1,core work
